,Date,Investment,Transaction Type,Amount,Shares/Unit,InvestmentCode,Lookup_keys
0,2020-04-08,FID 500 INDEX,DIVIDEND,31.11,0.327,FXAIX,2020-04-08 00:00:00FXAIX
1,2020-04-03,FID BALANCED K,DIVIDEND,4.0,0.197,FBAKX,2020-04-03 00:00:00FBAKX
2,2020-03-26,MFS VALUE R6,DIVIDEND,4.34,0.126,MEIKX,2020-03-26 00:00:00MEIKX
3,2019-12-27,OAKMARK FUND INV,REALIZED G/L,67.86,0.0,OAKMX,2019-12-27 00:00:00OAKMX
4,2019-12-27,OAKMARK FUND INV,Exchanges,-3955.24,-49.311,OAKMX,2019-12-27 00:00:00OAKMX
5,2019-12-27,MFS VALUE R6,Exchanges,923.6,20.755,MEIKX,2019-12-27 00:00:00MEIKX
6,2019-12-27,J H TRITON T,REALIZED G/L,105.74,0.0,JATTX,2019-12-27 00:00:00JATTX
7,2019-12-27,J H TRITON T,Exchanges,-1051.78,-33.994,JATTX,2019-12-27 00:00:00JATTX
8,2019-12-27,J H TRITON N,Exchanges,1051.78,33.221,JGMNX,2019-12-27 00:00:00JGMNX
9,2019-12-27,FID BALANCED K,Exchanges,836.96,33.94,FBAKX,2019-12-27 00:00:00FBAKX
10,2019-12-27,FID BALANCED,REALIZED G/L,51.72,0.0,FBALX,2019-12-27 00:00:00FBALX
11,2019-12-27,FID BALANCED,Exchanges,-836.96,-33.94,FBALX,2019-12-27 00:00:00FBALX
12,2019-12-27,FID 500 INDEX,Exchanges,3955.24,35.214,FXAIX,2019-12-27 00:00:00FXAIX
13,2019-12-27,ABF LG CAP VAL INV,REALIZED G/L,-9.04,0.0,AAGPX,2019-12-27 00:00:00AAGPX
14,2019-12-27,ABF LG CAP VAL INV,Exchanges,-923.6,-36.826,AAGPX,2019-12-27 00:00:00AAGPX
15,2019-12-20,ABF LG CAP VAL INV,DIVIDEND,87.44,3.501,AAGPX,2019-12-20 00:00:00AAGPX
16,2019-12-17,J H TRITON T,DIVIDEND,43.28,1.414,JATTX,2019-12-17 00:00:00JATTX
17,2019-12-13,FID BALANCED,DIVIDEND,20.36,0.841,FBALX,2019-12-13 00:00:00FBALX
18,2019-12-13,FID 500 INDEX,DIVIDEND,16.55,0.15,FXAIX,2019-12-13 00:00:00FXAIX
19,2019-12-12,OAKMARK FUND INV,DIVIDEND,302.95,3.842,OAKMX,2019-12-12 00:00:00OAKMX
20,2019-10-11,FID BALANCED,DIVIDEND,7.51,0.32,FBALX,2019-10-11 00:00:00FBALX
21,2019-10-04,FID 500 INDEX,DIVIDEND,11.01,0.107,FXAIX,2019-10-04 00:00:00FXAIX
22,2019-08-07,OAKMARK FUND INV,CONTRIBUTION,68.94,0.903,OAKMX,2019-08-07 00:00:00OAKMX
23,2019-08-07,FID BALANCED,CONTRIBUTION,11.28,0.485,FBALX,2019-08-07 00:00:00FBALX
24,2019-08-07,FID 500 INDEX,CONTRIBUTION,32.59,0.325,FXAIX,2019-08-07 00:00:00FXAIX
25,2019-08-07,ABF LG CAP VAL INV,CONTRIBUTION,12.54,0.511,AAGPX,2019-08-07 00:00:00AAGPX
26,2019-07-05,FID BALANCED,DIVIDEND,3.37,0.142,FBALX,2019-07-05 00:00:00FBALX
